Nombre,Tipo,Productor,País,DO,Uvas,PRECIO COMPRA,PORCENTAJE,PREU
La Imprudent,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"6,10 €","1,20%","7,32 €"
L’Espontània,Rosado,Herència Altés,España,Terra Alta,Garnacha Tinta,"6,00 €","1,20%","7,20 €"
Interstellar,Tinto,Herència Altés,España,Terra Alta,Garnacha Tinta,"7,20 €","1,20%","8,64 €"
La Cirereta,Tinto,Herència Altés,España,Terra Alta,"Garnacha, Syrah, Cariñena","7,40 €","1,20%","8,88 €"
Benufet,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"8,50 €","1,20%","10,20 €"
La Borrassona,Tinto,Herència Altés,España,Terra Alta,Garnacha Tinta,"10,50 €","1,20%","12,60 €"
L’Estel,Tinto,Herència Altés,España,Terra Alta,"Garnacha Tinta, Syrah, Garnacha Peluda","11,20 €","1,20%","13,44 €"
La Musaranya,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"9,40 €","1,20%","11,28 €"
La Tarentina,Blanco,Herència Altés,España,Terra Alta,Garnacha Peluda,"9,60 €","1,20%","11,52 €"
Llunari,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"13,80 €","1,20%","16,56 €"
La Pilosa,Tinto,Herència Altés,España,Terra Alta,Garnacha Peluda,"14,90 €","1,20%","17,88 €"
Trementinaire,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"19,50 €","1,20%","23,40 €"
Verema Tardana,Dulce,Herència Altés,España,Terra Alta,Garnacha Tintorera,"22,00 €","1,20%","26,40 €"
La Serra Blanc,Blanco,Herència Altés,España,Terra Alta,Garnacha Blanca,"15,20 €","1,20%","18,24 €"
La Xalamera,Tinto,Herència Altés,España,Terra Alta,Garnacha Tinta,"18,80 €","1,20%","22,56 €"
La Serra Negre,Tinto,Herència Altés,España,Terra Alta,"Cariñena, Garnacha Tinta","19,60 €","1,20%","23,52 €"
Lo Grau de l’Inquisidor,Tinto,Herència Altés,España,Terra Alta,Syrah,"21,80 €","1,20%","26,16 €"
